n,accept_boundary,reject_boundary,accept_tail_prob_at_p0,reject_tail_prob_at_p0
67,3.0,12.0,0.08720020513695485,0.032719158639352625
68,3.0,12.0,0.08155211721498917,0.03623885391038411
69,3.0,12.0,0.07623422520230763,0.04001789514875476
70,3.0,12.0,0.07123057226310273,0.04406407550914823
71,3.0,12.0,0.06652564487250706,0.04838457318211071
72,3.0,13.0,0.06210439692752087,0.025377923073585523
73,3.0,13.0,0.057952268422664266,0.028138721086608583
74,3.0,13.0,0.05405519924024885,0.031112236323585746
75,3.0,13.0,0.050399638570546496,0.034306367207177564
76,3.0,13.0,0.04697255044270053,0.03772865029674007
77,3.0,13.0,0.04376141581332157,0.04138621534870993
78,4.0,13.0,0.09939432326731196,0.04528574239642562
79,4.0,13.0,0.09353031410324271,0.04943342116535955
80,4.0,14.0,0.08797123341570506,0.026748808821420902
81,4.0,14.0,0.08270473592224833,0.02945741925054792
82,4.0,14.0,0.07771866232130034,0.032361208960597215
83,4.0,14.0,0.07300106960655725,0.03546700143308487
84,4.0,14.0,0.06854025725476852,0.03878132568586804
85,4.0,14.0,0.06432478958232818,0.04231038080573305
86,4.0,14.0,0.06034351455835675,0.04606000187058948
87,4.0,15.0,0.05658557935280321,0.02532995398345438
88,4.0,15.0,0.05304044288780513,0.027800521334386968
89,4.0,15.0,0.049697885649378354,0.030444696120790416
90,4.0,15.0,0.0465480170046962,0.033268674792669324
91,5.0,15.0,0.09757588904854733,0.03627844153506658
92,5.0,15.0,0.09217642816948868,0.03947973888834366
93,5.0,15.0,0.08703763091907424,0.04287803915566855
94,5.0,15.0,0.08214993398885045,0.04647851678066986
95,5.0,16.0,0.0775038760079861,0.026171822975663048
96,5.0,16.0,0.07309012092616496,0.0285832428650076
97,5.0,16.0,0.0688994787385897,0.03115542408030843
98,5.0,16.0,0.06492292370624929,0.03389385603269576
99,5.0,16.0,0.06115161022396514,0.03680385239655814
100,5.0,16.0,0.057576886487034094,0.03989052711108349
101,5.0,16.0,0.054190306104678385,0.04315877092646308
102,5.0,16.0,0.05098363780513529,0.04661322863364906
103,5.0,17.0,0.04794887337319661,0.026793277538668194
104,6.0,17.0,0.09483598384664957,0.029139777495890126
105,6.0,17.0,0.08986020885763006,0.03163560017766252
106,6.0,17.0,0.08511060545902055,0.034285659092578184
107,6.0,17.0,0.0805794838167471,0.03709472154238846
108,6.0,17.0,0.07625921634990612,0.0400673887282872
109,6.0,17.0,0.07214225558738714,0.043208076233388626
110,6.0,17.0,0.06822115023978403,0.046520994988769576
111,6.0,18.0,0.06448855957235419,0.02722811517802069
112,6.0,18.0,0.0609372661659138,0.029506316942906643
113,6.0,18.0,0.0575601871529969,0.03192360892080694
114,6.0,18.0,0.05435038401642069,0.03448442760989547
115,6.0,18.0,0.05130107103667334,0.03719308737794137
116,7.0,18.0,0.09638734152293787,0.040053763765622794
117,7.0,18.0,0.0915891696179776,0.04307047704717718
118,7.0,18.0,0.0869960105125929,0.046247076132654566
119,7.0,18.0,0.08260147450365729,0.04958722289381969
120,7.0,19.0,0.07839919944511262,0.02971334966488763
121,7.0,19.0,0.07438286576083986,0.03205145239770333
122,7.0,19.0,0.07054621016244242,0.03452348528705883
123,7.0,19.0,0.06688303812153773,0.03713338154908979
124,7.0,19.0,0.06338723514801926,0.03988495789391667
125,7.0,19.0,0.06005277692712464,0.04278190053620661
126,7.0,19.0,0.056873738369068394,0.04582775144515562
127,7.0,19.0,0.05384430162550888,0.049025894899551996
128,8.0,20.0,0.09712737909911544,0.02978653717125985
129,8.0,20.0,0.09251051750193075,0.032045837895316426
130,8.0,20.0,0.08808061972149156,0.034430427114070516
131,8.0,20.0,0.08383227512877525,0.03694391304735166
132,8.0,20.0,0.07976008140941553,0.039589805828903875
133,8.0,20.0,0.07585865710409342,0.04237150549658906
134,8.0,20.0,0.07212265318931699,0.04529229014765824
135,8.0,20.0,0.06854676372803095,0.04835530431217106
136,8.0,21.0,0.06512573562136756,0.02974749326275651
137,8.0,21.0,0.06185437749437069,0.03192909869613606
138,8.0,21.0,0.058727567749729495,0.034228175191313014
139,8.0,21.0,0.05574026182446463,0.03664805062098267
140,9.0,21.0,0.09726381418564668,0.03919197008528217
141,9.0,21.0,0.0928261826355967,0.04186308552279647
142,9.0,21.0,0.08856000503179867,0.04466444543205747
143,9.0,21.0,0.08446062534935206,0.04759898474684076
144,9.0,22.0,0.080523385311062,0.029614450946240406
145,9.0,22.0,0.07674363487430352,0.03171995734240834
146,9.0,22.0,0.07311674199197277,0.033935833025471894
147,9.0,22.0,0.06963810166541615,0.0362651615435086
148,9.0,22.0,0.06630314430886945,0.03871095648744676
149,9.0,22.0,0.06310734344633692,0.04127615244439689
150,9.0,22.0,0.06004622276301114,0.04396359602116954
151,9.0,22.0,0.057115362534294944,0.046776036973606466
152,10.0,22.0,0.09694575304254792,0.0497161194769617
153,10.0,23.0,0.09268221828391801,0.03143415191064416
154,10.0,23.0,0.0885767026457129,0.03356937407678651
155,10.0,23.0,0.0846251438439404,0.03581135735123596
156,10.0,23.0,0.08082347175533866,0.038162911236842775
157,10.0,23.0,0.0771676172262997,0.040626778143851586
158,10.0,23.0,0.07365352032185613,0.043205625506521315
159,10.0,23.0,0.07027713802582991,0.04590203796954754
160,10.0,23.0,0.06703445140461282,0.048718509673628514
161,10.0,24.0,0.06392147224824438,0.03108494770025301
162,10.0,24.0,0.06093424920349083,0.033142196597146636
163,10.0,24.0,0.058068873414510135,0.035300087886118714
164,11.0,24.0,0.09628256689118908,0.037561249686777466
165,11.0,24.0,0.09218645857081306,0.039928253103637096
166,11.0,24.0,0.08823663983330757,0.0424036052684514
167,11.0,24.0,0.08442952422438296,0.044989742425257793
168,11.0,24.0,0.08076151476270749,0.047689023082674066
169,11.0,25.0,0.07722901138305571,0.030683554940950413
170,11.0,25.0,0.07382841793973273,0.03266557157264104
171,11.0,25.0,0.07055614877728983,0.03474261639900171
172,11.0,25.0,0.06740863487666504,0.03691715516619125
173,11.0,25.0,0.06438232958587803,0.03919160517403585
174,11.0,25.0,0.06147371394528824,0.04156832910840753
175,12.0,25.0,0.09943114805498471,0.044049628895891646
176,12.0,25.0,0.09535596341130562,0.046637739601380075
177,12.0,25.0,0.09141993141399611,0.04933482338920465
178,12.0,26.0,0.08761987143113906,0.03214900549318592
179,12.0,26.0,0.08395258462840598,0.034148401300696636
180,12.0,26.0,0.08041486065283532,0.03623997704478727
181,12.0,26.0,0.07700348396210646,0.03842601104828887
182,12.0,26.0,0.07371523980281808,0.040708735017329356
183,12.0,26.0,0.07054691984228026,0.04309032855955149
184,12.0,26.0,0.0674953274592359,0.04557291372666522
185,12.0,26.0,0.06455728269974671,0.04815854959882928
186,12.0,27.0,0.06172962690520941,0.03160053526362589
187,13.0,27.0,0.09814113305948205,0.0335254044300936
188,13.0,27.0,0.0942279424555458,0.03553755027305267
189,13.0,27.0,0.09044444616876869,0.037639124820143775
190,13.0,27.0,0.0867877829961505,0.039832240344439246
191,13.0,27.0,0.08325507450734994,0.042118964458186234
192,13.0,27.0,0.07984343074765995,0.04450131521669016
193,13.0,27.0,0.07654995565450667,0.04698125624722894
194,13.0,27.0,0.07337175218961381,0.04956069191791523
195,13.0,28.0,0.07030592718977786,0.03288034124747731
196,13.0,28.0,0.0673495959399361,0.034816453378867525
197,13.0,28.0,0.06449988647287551,0.03683734201778572
198,13.0,28.0,0.06175394360053942,0.03894500999237553
199,14.0,28.0,0.09670587358984613,0.041141421881684646
200,14.0,28.0,0.09294617949910455,0.04342849961061074
201,14.0,28.0,0.08930776586290291,0.04580811805689219
202,14.0,28.0,0.0857880384469197,0.04828210068293981
203,14.0,29.0,0.08238438714784656,0.032218884918101265
204,14.0,29.0,0.07909419089207578,0.0340822179468227
205,14.0,29.0,0.07591482229965738,0.036026013083602336
206,14.0,29.0,0.07284365211483432,0.03805217242109296
207,14.0,29.0,0.06987805340511452,0.04016256534901901
208,14.0,29.0,0.0670154055314317,0.042359024580708955
209,14.0,29.0,0.06425309789249647,0.044643342181667184
210,15.0,29.0,0.0988924356847441,0.04701726561117065
211,15.0,29.0,0.09516204546096355,0.04948249378796296
212,15.0,30.0,0.09154775411659666,0.0333394996233811
213,15.0,30.0,0.08804721204296617,0.035209616980152646
214,15.0,30.0,0.08465805085349662,0.037157994682831874
215,15.0,30.0,0.08137788781283412,0.039186413847891864
216,15.0,30.0,0.0782043300709932,0.04129662410831697
217,15.0,30.0,0.07513497870276492,0.043490340015411494
218,15.0,30.0,0.0721674325531858,0.04576923744443072
219,15.0,30.0,0.06929929189039065,0.04813495001360242
220,15.0,31.0,0.06652816186766061,0.03259221843414257
221,15.0,31.0,0.0638516557969262,0.034391903143343054
222,16.0,31.0,0.09712397188874308,0.03626602507350034
223,16.0,31.0,0.09353831452350846,0.03821628320706983
224,16.0,31.0,0.090061785860694,0.040244349566694024
225,16.0,31.0,0.08669222731058156,0.04235186594865377
226,16.0,31.0,0.08342746364360654,0.04454044065299671
227,16.0,31.0,0.08026530683473648,0.04681164521862616
228,16.0,31.0,0.07720355974444192,0.04916701117171246
229,16.0,32.0,0.07424001963628887,0.03357600815321651
230,16.0,32.0,0.07137248153163936,0.03537921001747706
231,16.0,32.0,0.06859874140237555,0.037254902408943864
232,16.0,32.0,0.06591659920296193,0.03920468464987366
233,17.0,32.0,0.09885961633458389,0.04123013008224275
234,17.0,32.0,0.09530604087547834,0.043332783088023456
235,17.0,32.0,0.09185727132853075,0.045514156107813925
236,17.0,32.0,0.08851133206623993,0.047775726665096704
237,17.0,33.0,0.08526622932966196,0.03276455209113224
238,17.0,33.0,0.08211995472187976,0.034499990322366204
239,17.0,33.0,0.07907048856356771,0.03630450910455231
240,17.0,33.0,0.07611580311017628,0.03817963949125845
241,17.0,33.0,0.07325386563065804,0.04012689027745364
242,17.0,33.0,0.07048264134803528,0.04214774527996869
243,17.0,33.0,0.06780009624245648,0.0442436606111488
244,17.0,33.0,0.06520419971772158,0.04641606195204523
245,18.0,33.0,0.09687413731948755,0.04866634183157711
246,18.0,34.0,0.09345601630079478,0.03363038081834016
247,18.0,34.0,0.09013684089053779,0.035366928428319754
248,18.0,34.0,0.08691477672590844,0.03717082811849935
249,18.0,34.0,0.08378797358875512,0.03904352770383928
250,18.0,34.0,0.08075456846738682,0.040986453523629715
251,18.0,34.0,0.07781268850054263,0.04300100794507117
252,18.0,34.0,0.0749604538030744,0.04508856686160159
253,18.0,34.0,0.07219598017322054,0.04725047719159738
254,18.0,34.0,0.06951738168165575,0.049488054383143174
255,18.0,35.0,0.06692277314279255,0.03444363832469153
256,19.0,35.0,0.09826291312537674,0.03617953248528225
257,19.0,35.0,0.09487764905974744,0.03798110912762465
258,19.0,35.0,0.09158768444470511,0.03984973996786628
259,19.0,35.0,0.08839132551745485,0.0417867760442237
260,19.0,35.0,0.08528686190936298,0.04379354541933006
261,19.0,35.0,0.08227256944341485,0.04587135087851119
262,19.0,35.0,0.07934671283080656,0.04802146762900266
263,19.0,36.0,0.07650754826597922,0.033535823921404286
264,19.0,36.0,0.07375332591968976,0.03520675562978072
265,19.0,36.0,0.07108229232998214,0.036940438485284
266,19.0,36.0,0.06849269269118013,0.03873819222892551
267,20.0,36.0,0.09949020036763936,0.040601318835972386
268,20.0,36.0,0.09613945763500181,0.04253110040352911
269,20.0,36.0,0.09288059010632382,0.044528797030545644
270,20.0,36.0,0.08971202854530785,0.04659564469465078
271,20.0,36.0,0.0866321867080004,0.04873285313030036
272,20.0,37.0,0.08363946390274427,0.034253265978775926
273,20.0,37.0,0.08073224746335264,0.03592209975217222
274,20.0,37.0,0.07790891513466273,0.037652194512186515
275,20.0,37.0,0.07516783736987961,0.03944480530134429
276,20.0,37.0,0.07250737953935472,0.04130117003070196
277,20.0,37.0,0.06992590405067368,0.04322250752558746
278,20.0,37.0,0.06742177238013591,0.04521001556490282
279,21.0,37.0,0.09725671256911425,0.04726486891794667
280,21.0,37.0,0.09403037601379455,0.049388217382758816
281,21.0,38.0,0.09089123774375371,0.034926492703498006
282,21.0,38.0,0.08783782209570241,0.03659196181615059
283,21.0,38.0,0.08486863860345945,0.038317251860196314
284,21.0,38.0,0.08198218426958817,0.040103558259458445
285,21.0,38.0,0.07917694576108057,0.041952059942257584
286,21.0,38.0,0.07645140152838285,0.04386391752950749
287,21.0,38.0,0.07380402384726431,0.04584027151729099
288,21.0,38.0,0.07123328078323084,0.047882240457469014
289,21.0,38.0,0.0687376380783714,0.04999091913991647
290,22.0,39.0,0.09824294114809637,0.03555756847401034
291,22.0,39.0,0.0950502031293574,0.0372185493046104
292,22.0,39.0,0.09194173440404994,0.038937959895654926
293,22.0,39.0,0.08891615817808403,0.040716940617412406
294,22.0,39.0,0.08597208271392452,0.04255661597555938
295,22.0,39.0,0.08310810342048114,0.04445809292776943
296,22.0,39.0,0.08032280487685758,0.04642245919551892
297,22.0,39.0,0.07761476278918863,0.048450781574312214
298,22.0,40.0,0.07498254587997431,0.03454897203966275
299,22.0,40.0,0.07242471770949875,0.03614848526025146
300,22.0,40.0,0.06993983842908363,0.03780398144356125
301,23.0,40.0,0.09911016041656545,0.039516563702157365
302,23.0,40.0,0.09595179102151782,0.041287321464957706
303,23.0,40.0,0.09287492793343938,0.04311732891716009
304,23.0,40.0,0.08987828306158571,0.04500764343312775
305,23.0,40.0,0.08696055339276315,0.04695930400508533
306,23.0,40.0,0.0841204229172603,0.04897332967050793
307,23.0,41.0,0.08135656449693003,0.035106762964073585
308,23.0,41.0,0.0786676416746157,0.036701158461779536
309,23.0,41.0,0.07605231042428051,0.038350286939257835
310,23.0,41.0,0.07350922084134967,0.04005520377786973
311,23.0,41.0,0.07103701877292563,0.04181695117776869
312,24.0,41.0,0.09986907539592112,0.043636556702609554
313,24.0,41.0,0.09674560259509662,0.045515031817959475
314,24.0,41.0,0.09370102720411996,0.04745337042599661
315,24.0,41.0,0.0907341409782923,0.04945254739910306
316,24.0,42.0,0.08784372089230562,0.03562897003627961
317,24.0,42.0,0.0850285309181459,0.037217424744153224
318,24.0,42.0,0.08228732375218087,0.03885940346935735
319,24.0,42.0,0.07961884249061899,0.040555917228033894
320,24.0,42.0,0.07702182225267183,0.042307964350753714
321,24.0,42.0,0.07449499175088543,0.044116529122593125
322,24.0,42.0,0.07203707480823861,0.04598258041753768
323,24.0,42.0,0.06964679182173182,0.047907070329548336
324,25.0,42.0,0.09744100238883346,0.04989093280267355
325,25.0,43.0,0.094429188267181,0.03611725906068744
326,25.0,43.0,0.09149266949856981,0.03769904138088047
327,25.0,43.0,0.088630295389897,0.039333178468008885
328,25.0,43.0,0.0858409023429354,0.04102064002850705
329,25.0,43.0,0.08312331545361833,0.04276238356927325
330,25.0,43.0,0.08047635006570122,0.04455935312474609
331,25.0,43.0,0.07789881327812301,0.046412477978828096
332,25.0,43.0,0.07538950540551007,0.048322671383779374
333,25.0,44.0,0.07294722139138388,0.035049048374489425
334,25.0,44.0,0.07057075217374222,0.03657322646486659
335,26.0,44.0,0.0980463924361683,0.03814768671904994
336,26.0,44.0,0.09506764179283084,0.03977337085136583
337,26.0,44.0,0.0921619185846204,0.04145121003775637
338,26.0,44.0,0.08932813771950712,0.043182123729022005
339,26.0,44.0,0.0865652013760216,0.04496701845743929
340,26.0,44.0,0.08387200048657303,0.046806786638656124
341,26.0,44.0,0.0812474161802951,0.048702305370818356
342,26.0,45.0,0.07869032118475003,0.035481062213984706
343,26.0,45.0,0.07619958118592474,0.036998399515876565
344,26.0,45.0,0.07377405614605928,0.03856496147271226
345,26.0,45.0,0.07141260157894494,0.04018165341216725
346,27.0,45.0,0.09856932910075951,0.04184937051250179
347,27.0,45.0,0.09562380316892635,0.04356899668814463
348,27.0,45.0,0.09274915395482793,0.0453414034691788
349,27.0,45.0,0.089944356030044,0.047167448876480604
350,27.0,45.0,0.08720837147049545,0.049047976294295664
351,27.0,46.0,0.08454015123440323,0.0358842843695902
352,27.0,46.0,0.08193863650421343,0.03739423726683584
353,27.0,46.0,0.07940275999183136,0.03895239061487303
354,27.0,46.0,0.07693144720660507,0.040559615675494466
355,27.0,46.0,0.07452361768558642,0.042216773941882536
356,27.0,46.0,0.07217818618569175,0.043924716090627945
357,28.0,46.0,0.09901662377734388,0.0456842809281137
358,28.0,46.0,0.09610436778335607,0.0474962943328701
359,28.0,46.0,0.09326094693104425,0.04936156819553068
360,28.0,47.0,0.09048539020179391,0.03626004678193299
361,28.0,47.0,0.08777671435758558,0.03776213203954269
362,28.0,47.0,0.08513392522310123,0.03931142569096354
363,28.0,47.0,0.08255601893563116,0.04090876705688993
364,28.0,47.0,0.08004198316214925,0.04255498606082766
365,28.0,47.0,0.07759079828300434,0.04425090224224284
366,28.0,47.0,0.07520143854176065,0.04599732376448354
367,28.0,47.0,0.07287287316079721,0.0477950464189399
368,29.0,47.0,0.09939442989639165,0.04964485262693717
369,29.0,48.0,0.09651539364898781,0.0366096224973924
370,29.0,48.0,0.09370325265556781,0.0381034112917412
371,29.0,48.0,0.09095708564439818,0.039643447417183515
372,29.0,48.0,0.08827595943086163,0.04123054020201467
373,29.0,48.0,0.08565893011222576,0.04286548993851222
374,29.0,48.0,0.08310504423354548,0.044549086952444895
375,29.0,48.0,0.08061333992408513,0.04628211066770431
376,29.0,48.0,0.0781828480037301,0.04806532866739879
377,29.0,48.0,0.07581259305892271,0.04989949575279969
378,29.0,49.0,0.07350159448773556,0.036934227167873965
379,30.0,49.0,0.0997083182849981,0.03841933975123805
380,30.0,49.0,0.09686237320787422,0.039949768458747446
381,30.0,49.0,0.09408147830394169,0.04152629441648324
382,30.0,49.0,0.09136475789779222,0.04314969006485327
383,30.0,49.0,0.08871132472837695,0.044820718280152404
384,30.0,49.0,0.08612028106407821,0.046540131491536144
385,30.0,49.0,0.08359071979181364,0.04830867079467364
386,30.0,50.0,0.08112172547958925,0.03580257143677268
387,30.0,50.0,0.07871237541198607,0.03723502079942854
388,30.0,50.0,0.07636174059813115,0.038711121725502194
389,30.0,50.0,0.07406888675176761,0.04023163630775887
390,31.0,50.0,0.09996334261021503,0.041797319117312014
391,31.0,50.0,0.09715029587350346,0.04340891637875838
392,31.0,50.0,0.09440054268836787,0.04506716513987847
393,31.0,50.0,0.09171324927087257,0.04677279243702941
394,31.0,50.0,0.08908757059195521,0.04852651445738568
395,31.0,51.0,0.08652265141965734,0.03608911788901909
396,31.0,51.0,0.08401762733792142,0.03751310967003497
397,31.0,51.0,0.08157162574139903,0.038979903516144956
398,31.0,51.0,0.0791837668057775,0.04049023619976213
399,31.0,51.0,0.07685316443318999,0.04204483725513995
400,31.0,51.0,0.07457892717233078,0.04364442819779427
401,31.0,51.0,0.07236015911295601,0.04528972173880988
402,32.0,51.0,0.09738370263259248,0.046981420995085156
403,32.0,51.0,0.09466492844478336,0.048720218696563726
404,32.0,52.0,0.0920069785851651,0.036354298572521454
405,32.0,52.0,0.08940904694818338,0.03776954835442311
406,32.0,52.0,0.08687031750668242,0.039226775884092936
407,32.0,52.0,0.08438996526624273,0.04072669402308303
408,32.0,52.0,0.08196715719778139,0.04227000867002668
409,32.0,52.0,0.07960105314794343,0.04385741802116944
410,32.0,52.0,0.07729080672686832,0.045489611826072515
411,32.0,52.0,0.07503556617296162,0.047167270639469024
412,32.0,52.0,0.07283447519435982,0.04889106507023421
413,33.0,53.0,0.0975667338266493,0.036599084783163545
414,33.0,53.0,0.09487872782266621,0.03800534180769568
415,33.0,53.0,0.0922499849431804,0.03945277652410621
416,33.0,53.0,0.08967973503352614,0.04094207918685876
417,33.0,53.0,0.08716719830722189,0.04247393335426166
418,33.0,53.0,0.08471158624112277,0.04404901518721058
419,33.0,53.0,0.08231210245082038,0.04566799274337291
420,33.0,53.0,0.07996794354583837,0.04733152526770235
421,33.0,53.0,0.07767829996422802,0.04904026248019218
422,33.0,54.0,0.07544235678620698,0.036824403427125396
423,33.0,54.0,0.07325929452653501,0.038221447470592675
424,34.0,54.0,0.09770317106350891,0.03965889251747918
425,34.0,54.0,0.09504568294769436,0.041137407422848236
426,34.0,54.0,0.09244596631265833,0.042657654603771855
427,34.0,54.0,0.08990328427726849,0.04422028937365395
428,34.0,54.0,0.08741689062281473,0.04582595927222609
429,34.0,54.0,0.08498603063373975,0.047475303392038544
430,34.0,54.0,0.08260994192036789,0.04916895170230417
431,34.0,55.0,0.08028785522320905,0.03703113881206966
432,34.0,55.0,0.07801899519845364,0.03841877736795634
433,34.0,55.0,0.07580258118432072,0.039846062739724526
434,34.0,55.0,0.07363782794796074,0.041313643503255455
435,35.0,55.0,0.09779647406573756,0.042822162045979856
436,35.0,55.0,0.09516922130042942,0.04437225393436974
437,35.0,55.0,0.09259831360689591,0.04596454727731273
438,35.0,55.0,0.09008304496046121,0.04759966208613658
439,35.0,55.0,0.08762270029439533,0.04927820963206906
440,35.0,56.0,0.08521655629052736,0.037220134443012136
441,35.0,56.0,0.08286388215341213,0.03859820017890428
442,35.0,56.0,0.08056394036764597,0.040015180206302244
443,35.0,56.0,0.07831598743797082,0.04147170386237185
444,35.0,56.0,0.07611927461183979,0.04296839453679204
445,35.0,56.0,0.07397304858415774,0.044505869070206254
446,36.0,56.0,0.09784981314212085,0.0460847371487509
447,36.0,56.0,0.09525248704630344,0.04770560069536915
448,36.0,56.0,0.09271014084594487,0.04936905325864664
449,36.0,57.0,0.09022209718578816,0.03739219480305107
450,36.0,57.0,0.08778766996286005,0.038760543262736556
451,36.0,57.0,0.08540616507086507,0.04016709434439244
452,36.0,57.0,0.08307688112951392,0.04161245911412453
453,36.0,57.0,0.08079911019840413,0.04309724292303085
454,36.0,57.0,0.07857213847511052,0.04462204483459605
455,36.0,57.0,0.07639524697717318,0.04618745704832828
456,36.0,57.0,0.07426771220770943,0.047794064320315764
457,37.0,57.0,0.09786609786684267,0.049442443381375885
458,37.0,58.0,0.09529836876059891,0.037548087103938546
459,37.0,58.0,0.09278431190170656,0.03890659462889267
460,37.0,58.0,0.09032327662111786,0.04030261318252109
461,37.0,58.0,0.08791460379330762,0.04173673646093849
462,37.0,58.0,0.08555762653798105,0.043209552669391665
463,37.0,58.0,0.08325167090794618,0.04472164397673772
464,37.0,58.0,0.08099605656279246,0.04627358596632127
465,37.0,58.0,0.0787900974280473,0.04786594708388927
466,37.0,58.0,0.07663310233951723,0.04949928808315984
467,37.0,59.0,0.07452437567254867,0.03768854299533441
468,38.0,59.0,0.09784800246536154,0.03903710484277021
469,38.0,59.0,0.0953095240144228,0.04042250545286841
470,38.0,59.0,0.09282346426003477,0.04184532199185207
471,38.0,59.0,0.0903891974171965,0.04330612635105171
472,38.0,59.0,0.0880060895311015,0.044805484626753225
473,38.0,59.0,0.0856734991393662,0.0463439565966028
474,38.0,59.0,0.08339077792152311,0.04792209519314532
475,38.0,59.0,0.08115727133544086,0.049540445975080775
476,38.0,60.0,0.07897231924036041,0.03781426022461822
477,38.0,60.0,0.07683525650626796,0.03915278886184104
478,38.0,60.0,0.07474541360935259,0.04052750260337233
479,39.0,60.0,0.09779798833378668,0.041938962869735814
480,39.0,60.0,0.09528840122174001,0.0433877260145682
481,39.0,60.0,0.09283003017320457,0.04487434282826784
482,39.0,60.0,0.09042227264625656,0.046399358038340124
483,39.0,60.0,0.08806451821016244,0.047963309806967766
484,39.0,60.0,0.0857561491710394,0.04956672922635992
485,39.0,61.0,0.083496541185777,0.037925904241571017
486,39.0,61.0,0.08128506386387786,0.03925432779865894
487,39.0,61.0,0.07912108135694525,0.04061830071854171
488,39.0,61.0,0.07700395293554312,0.04201836940890372
489,39.0,61.0,0.07493303355318201,0.043455075410789835
490,40.0,61.0,0.09771832405760739,0.04492895492461256
491,40.0,61.0,0.09523725909157002,0.046440538332974735
492,40.0,61.0,0.09280625552506873,0.04799034972080598
493,40.0,61.0,0.0904247325621337,0.04957890639333296
494,40.0,62.0,0.08809210179247795,0.03802410974414866
495,40.0,62.0,0.0858077677832501,0.039342370608975046
496,40.0,62.0,0.0835711286599298,0.04069556234925154
497,40.0,62.0,0.08138157667604795,0.0420842170454799
498,40.0,62.0,0.07923849877147343,0.04350886210424868
499,40.0,62.0,0.07714127711900638,0.04497001980525546
500,40.0,62.0,0.07508928965904264,0.046468206845261276
