rank,scenario_id,policy4,policy6,x1,x2,y,z,r1,r2,feasible,expected_cost,expected_profit,spectral_radius,condition_number,bellman_residual_inf,absorption_probability,reachable_state_count,reason,cost_purchase,cost_component_inspection,cost_assembly,cost_final_inspection,cost_replacement,cost_disassembly,count_purchase_1,count_purchase_2,count_inspect_1,count_inspect_2,count_assemblies,count_final_inspections,count_replacements,count_disassemblies
11,1,1100,110000,1,1,0,0,0,0,True,40.666666666666664,15.333333333333336,0.1,1.0,0.0,1.0,1,,27.16049382716049,6.172839506172839,6.666666666666666,0.0,0.6666666666666667,0.0,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.1111111111111112,0.0,0.11111111111111112,0.0
12,1,1010,101000,1,0,1,0,0,0,True,41.563786008230444,14.436213991769556,0.19,1.0,0.0,1.0,1,,27.709190672153632,2.7434842249657065,7.4074074074074066,3.7037037037037033,0.0,0.0,1.3717421124828533,1.2345679012345678,1.3717421124828533,0.0,1.2345679012345678,1.2345679012345678,0.0,0.0
13,1,0010,001000,0,0,1,0,0,0,True,42.524005486968456,13.475994513031544,0.2710000000000001,1.0,0.0,1.0,1,,30.178326474622775,0.0,8.230452674897121,4.1152263374485605,0.0,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0
14,1,0100,010000,0,1,0,0,0,0,True,42.559670781893,13.440329218107003,0.19,1.0,0.0,1.0,1,,29.629629629629626,4.11522633744856,7.4074074074074066,0.0,1.4074074074074074,0.0,1.2345679012345678,1.3717421124828533,0.0,1.3717421124828533,1.2345679012345678,0.0,0.2345679012345679,0.0
15,1,1110,111000,1,1,1,0,0,0,True,43.333333333333336,12.666666666666664,0.1,1.0,0.0,1.0,1,,27.16049382716049,6.172839506172839,6.666666666666666,3.333333333333333,0.0,0.0,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.1111111111111112,1.1111111111111112,0.0,0.0
16,1,0110,011000,0,1,1,0,0,0,True,44.855967078189295,11.144032921810705,0.19,1.0,0.0,1.0,1,,29.629629629629626,4.11522633744856,7.4074074074074066,3.7037037037037033,0.0,0.0,1.2345679012345678,1.3717421124828533,0.0,1.3717421124828533,1.2345679012345678,1.2345679012345678,0.0,0.0
1,2,1101,110100,1,1,0,1,0,0,True,44.0,12.0,0.2,1.3701562118716424,0.0,1.0,2,,27.5,6.25,7.5,0.0,1.5000000000000002,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.25,0.25
2,2,1001,100101,1,0,0,1,0,1,True,45.47999999999999,10.52000000000001,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,4.33,8.7,0.0,2.7,2.2500000000000004,1.25,1.25,1.25,0.6100000000000001,1.45,0.0,0.45000000000000007,0.45000000000000007
3,2,0101,010110,0,1,0,1,1,0,True,46.12,9.880000000000003,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,4.970000000000001,8.7,0.0,2.7,2.2500000000000004,1.25,1.25,0.6100000000000001,1.25,1.45,0.0,0.45000000000000007,0.45000000000000007
4,2,1111,111100,1,1,1,1,0,0,True,46.25,9.75,0.2,1.3701562118716424,0.0,1.0,2,,27.5,6.25,7.5,3.75,0.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.25
5,2,1011,101101,1,0,1,1,0,1,True,47.129999999999995,8.870000000000005,0.2,1.6168366684395272,7.105427357601002e-15,0.9999999999999999,4,,27.5,4.33,8.7,4.35,0.0,2.2500000000000004,1.25,1.25,1.25,0.6100000000000001,1.45,1.45,0.0,0.45000000000000007
6,2,0001,000111,0,0,0,1,1,1,True,47.56,8.439999999999998,0.2,1.7631975934564355,0.0,1.0,6,,27.500000000000004,3.690000000000001,9.66,0.0,3.6600000000000015,3.050000000000001,1.25,1.25,0.7380000000000001,0.7380000000000001,1.6099999999999999,0.0,0.6100000000000002,0.6100000000000002
7,2,0111,011110,0,1,1,1,1,0,True,47.769999999999996,8.230000000000004,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,4.970000000000001,8.7,4.35,0.0,2.2500000000000004,1.25,1.25,0.6100000000000001,1.25,1.45,1.45,0.0,0.45000000000000007
8,2,0011,001111,0,0,1,1,1,1,True,48.73,7.270000000000003,0.2,1.7631975934564355,0.0,1.0,6,,27.500000000000004,3.690000000000001,9.66,4.83,0.0,3.050000000000001,1.25,1.25,0.7380000000000001,0.7380000000000001,1.6099999999999999,1.6099999999999999,0.0,0.6100000000000002
9,2,1100,110000,1,1,0,0,0,0,True,51.1875,4.8125,0.2,1.0,0.0,1.0,1,,34.375,7.8125,7.5,0.0,1.5000000000000002,0.0,1.5625,1.5625,1.5625,1.5625,1.25,0.0,0.25,0.0
10,2,1000,100000,1,0,0,0,0,0,True,52.59375,3.40625,0.36000000000000004,1.0,0.0,1.0,1,,35.93750000000001,3.9062500000000004,9.375000000000002,0.0,3.375000000000001,0.0,1.9531250000000002,1.5625000000000002,1.9531250000000002,0.0,1.5625000000000002,0.0,0.5625000000000001,0.0
11,2,1110,111000,1,1,1,0,0,0,True,53.4375,2.5625,0.2,1.0,0.0,1.0,1,,34.375,7.8125,7.5,3.75,0.0,0.0,1.5625,1.5625,1.5625,1.5625,1.25,1.25,0.0,0.0
12,2,1010,101000,1,0,1,0,0,0,True,53.90625000000001,2.093749999999993,0.36000000000000004,1.0,0.0,1.0,1,,35.93750000000001,3.9062500000000004,9.375000000000002,4.687500000000001,0.0,0.0,1.9531250000000002,1.5625000000000002,1.9531250000000002,0.0,1.5625000000000002,1.5625000000000002,0.0,0.0
13,2,0100,010000,0,1,0,0,0,0,True,60.01562500000001,-4.015625000000007,0.36000000000000004,1.0,0.0,1.0,1,,41.40625000000001,5.859375000000001,9.375000000000002,0.0,3.375000000000001,0.0,1.5625000000000002,1.9531250000000002,0.0,1.9531250000000002,1.5625000000000002,0.0,0.5625000000000001,0.0
14,2,0000,000000,0,0,0,0,0,0,True,60.406250000000014,-4.406250000000014,0.4880000000000001,1.0,0.0,1.0,1,,42.96875000000001,0.0,11.718750000000002,0.0,5.718750000000003,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0,1.9531250000000004,0.0,0.9531250000000003,0.0
15,2,0010,001000,0,0,1,0,0,0,True,60.546875000000014,-4.546875000000014,0.4880000000000001,1.0,0.0,1.0,1,,42.96875000000001,0.0,11.718750000000002,5.859375000000001,0.0,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0
16,2,0110,011000,0,1,1,0,0,0,True,61.32812500000001,-5.328125000000007,0.36000000000000004,1.0,0.0,1.0,1,,41.40625000000001,5.859375000000001,9.375000000000002,4.687500000000001,0.0,0.0,1.5625000000000002,1.9531250000000002,0.0,1.9531250000000002,1.5625000000000002,1.5625000000000002,0.0,0.0
1,3,1011,101101,1,0,1,1,0,1,True,39.525555555555556,16.474444444444444,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.1255555555555556,7.2666666666666675,3.6333333333333337,0.0,1.0555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.2111111111111112,1.2111111111111112,0.0,0.21111111111111114
2,3,0011,001111,0,0,1,1,1,1,True,39.57055555555555,16.42944444444445,0.1,1.324588898971735,0.0,0.9999999999999998,6,,24.444444444444443,1.910555555555556,7.806666666666666,3.903333333333333,0.0,1.5055555555555558,1.1111111111111112,1.1111111111111112,0.3821111111111112,0.3821111111111112,1.3011111111111113,1.3011111111111113,0.0,0.3011111111111112
3,3,0111,011110,0,1,1,1,1,0,True,40.33555555555556,15.664444444444442,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.9355555555555557,7.2666666666666675,3.6333333333333337,0.0,1.0555555555555556,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.1111111111111112,1.2111111111111112,1.2111111111111112,0.0,0.21111111111111114
4,3,1101,110100,1,1,0,1,0,0,True,40.55555555555556,15.444444444444443,0.1,1.1605958227452635,0.0,1.0,2,,24.444444444444443,5.555555555555555,6.666666666666667,0.0,3.3333333333333335,0.5555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111112,0.11111111111111112
5,3,1111,111100,1,1,1,1,0,0,True,40.55555555555556,15.444444444444443,0.1,1.1605958227452635,0.0,1.0,2,,24.444444444444443,5.555555555555555,6.666666666666667,3.3333333333333335,0.0,0.5555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111112
6,3,1010,101000,1,0,1,0,0,0,True,41.563786008230444,14.436213991769556,0.19,1.0,0.0,1.0,1,,27.709190672153632,2.7434842249657065,7.4074074074074066,3.7037037037037033,0.0,0.0,1.3717421124828533,1.2345679012345678,1.3717421124828533,0.0,1.2345679012345678,1.2345679012345678,0.0,0.0
7,3,1001,100101,1,0,0,1,0,1,True,42.22555555555556,13.774444444444441,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.1255555555555556,7.2666666666666675,0.0,6.333333333333333,1.0555555555555556,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.2111111111111112,0.0,0.21111111111111114,0.21111111111111114
8,3,0010,001000,0,0,1,0,0,0,True,42.524005486968456,13.475994513031544,0.2710000000000001,1.0,0.0,1.0,1,,30.178326474622775,0.0,8.230452674897121,4.1152263374485605,0.0,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0
9,3,0101,010110,0,1,0,1,1,0,True,43.03555555555556,12.964444444444439,0.1,1.2646472596294436,0.0,1.0,4,,24.444444444444443,3.9355555555555557,7.2666666666666675,0.0,6.333333333333333,1.0555555555555556,1.1111111111111112,1.1111111111111112,0.30111111111111116,1.1111111111111112,1.2111111111111112,0.0,0.21111111111111114,0.21111111111111114
10,3,1100,110000,1,1,0,0,0,0,True,43.333333333333336,12.666666666666664,0.1,1.0,0.0,1.0,1,,27.16049382716049,6.172839506172839,6.666666666666666,0.0,3.333333333333333,0.0,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.1111111111111112,0.0,0.11111111111111112,0.0
11,3,1110,111000,1,1,1,0,0,0,True,43.333333333333336,12.666666666666664,0.1,1.0,0.0,1.0,1,,27.16049382716049,6.172839506172839,6.666666666666666,3.333333333333333,0.0,0.0,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.2345679012345678,1.1111111111111112,1.1111111111111112,0.0,0.0
12,3,0001,000111,0,0,0,1,1,1,True,44.70055555555555,11.299444444444447,0.1,1.324588898971735,0.0,0.9999999999999998,6,,24.444444444444443,1.910555555555556,7.806666666666666,0.0,9.033333333333335,1.5055555555555558,1.1111111111111112,1.1111111111111112,0.3821111111111112,0.3821111111111112,1.3011111111111113,0.0,0.3011111111111112,0.3011111111111112
13,3,0110,011000,0,1,1,0,0,0,True,44.855967078189295,11.144032921810705,0.19,1.0,0.0,1.0,1,,29.629629629629626,4.11522633744856,7.4074074074074066,3.7037037037037033,0.0,0.0,1.2345679012345678,1.3717421124828533,0.0,1.3717421124828533,1.2345679012345678,1.2345679012345678,0.0,0.0
14,3,1000,100000,1,0,0,0,0,0,True,44.89711934156379,11.102880658436213,0.19,1.0,0.0,1.0,1,,27.709190672153632,2.7434842249657065,7.4074074074074066,0.0,7.037037037037037,0.0,1.3717421124828533,1.2345679012345678,1.3717421124828533,0.0,1.2345679012345678,0.0,0.2345679012345679,0.0
15,3,0100,010000,0,1,0,0,0,0,True,48.18930041152263,7.81069958847737,0.19,1.0,0.0,1.0,1,,29.629629629629626,4.11522633744856,7.4074074074074066,0.0,7.037037037037037,0.0,1.2345679012345678,1.3717421124828533,0.0,1.3717421124828533,1.2345679012345678,0.0,0.2345679012345679,0.0
16,3,0000,000000,0,0,0,0,0,0,True,49.5610425240055,6.438957475994499,0.2710000000000001,1.0,0.0,1.0,1,,30.178326474622775,0.0,8.230452674897121,0.0,11.1522633744856,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0,1.3717421124828535,0.0,0.3717421124828534,0.0
1,4,1111,111100,1,1,1,1,0,0,True,41.25,14.75,0.2,1.3701562118716424,0.0,1.0,2,,27.5,2.5,7.5,2.5,0.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.25
2,4,0111,011110,0,1,1,1,1,0,True,43.21,12.79,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,1.8599999999999999,8.7,2.9,0.0,2.2500000000000004,1.25,1.25,0.6100000000000001,1.25,1.45,1.45,0.0,0.45000000000000007
3,4,1011,101101,1,0,1,1,0,1,True,43.21,12.79,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,1.8599999999999999,8.7,2.9,0.0,2.2500000000000004,1.25,1.25,1.25,0.6100000000000001,1.45,1.45,0.0,0.45000000000000007
4,4,0011,001111,0,0,1,1,1,1,True,44.906,11.094000000000001,0.2,1.7631975934564355,0.0,1.0,6,,27.500000000000004,1.4760000000000002,9.66,3.2199999999999998,0.0,3.050000000000001,1.25,1.25,0.7380000000000001,0.7380000000000001,1.6099999999999999,1.6099999999999999,0.0,0.6100000000000002
5,4,1101,110100,1,1,0,1,0,0,True,46.25,9.75,0.2,1.3701562118716424,0.0,1.0,2,,27.5,2.5,7.5,0.0,7.5,1.25,1.25,1.25,1.25,1.25,1.25,0.0,0.25,0.25
6,4,1110,111000,1,1,1,0,0,0,True,47.5,8.5,0.2,1.0,0.0,1.0,1,,34.375,3.125,7.5,2.5,0.0,0.0,1.5625,1.5625,1.5625,1.5625,1.25,1.25,0.0,0.0
7,4,1010,101000,1,0,1,0,0,0,True,50.39062500000001,5.609374999999993,0.36000000000000004,1.0,0.0,1.0,1,,35.93750000000001,1.9531250000000002,9.375000000000002,3.1250000000000004,0.0,0.0,1.9531250000000002,1.5625000000000002,1.9531250000000002,0.0,1.5625000000000002,1.5625000000000002,0.0,0.0
8,4,1100,110000,1,1,0,0,0,0,True,52.5,3.5,0.2,1.0,0.0,1.0,1,,34.375,3.125,7.5,0.0,7.5,0.0,1.5625,1.5625,1.5625,1.5625,1.25,0.0,0.25,0.0
9,4,0101,010110,0,1,0,1,1,0,True,53.809999999999995,2.190000000000005,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,1.8599999999999999,8.7,0.0,13.5,2.2500000000000004,1.25,1.25,0.6100000000000001,1.25,1.45,0.0,0.45000000000000007,0.45000000000000007
10,4,1001,100101,1,0,0,1,0,1,True,53.809999999999995,2.190000000000005,0.2,1.6168366684395272,0.0,0.9999999999999999,4,,27.5,1.8599999999999999,8.7,0.0,13.5,2.2500000000000004,1.25,1.25,1.25,0.6100000000000001,1.45,0.0,0.45000000000000007,0.45000000000000007
11,4,0110,011000,0,1,1,0,0,0,True,55.85937500000001,0.1406249999999929,0.36000000000000004,1.0,0.0,1.0,1,,41.40625000000001,1.9531250000000002,9.375000000000002,3.1250000000000004,0.0,0.0,1.5625000000000002,1.9531250000000002,0.0,1.9531250000000002,1.5625000000000002,1.5625000000000002,0.0,0.0
12,4,0010,001000,0,0,1,0,0,0,True,58.593750000000014,-2.593750000000014,0.4880000000000001,1.0,0.0,1.0,1,,42.96875000000001,0.0,11.718750000000002,3.906250000000001,0.0,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0
13,4,0001,000111,0,0,0,1,1,1,True,59.986,-3.985999999999997,0.2,1.7631975934564355,0.0,1.0,6,,27.500000000000004,1.4760000000000002,9.66,0.0,18.3,3.050000000000001,1.25,1.25,0.7380000000000001,0.7380000000000001,1.6099999999999999,0.0,0.6100000000000002,0.6100000000000002
14,4,1000,100000,1,0,0,0,0,0,True,64.140625,-8.140625,0.36000000000000004,1.0,0.0,1.0,1,,35.93750000000001,1.9531250000000002,9.375000000000002,0.0,16.875000000000004,0.0,1.9531250000000002,1.5625000000000002,1.9531250000000002,0.0,1.5625000000000002,0.0,0.5625000000000001,0.0
15,4,0100,010000,0,1,0,0,0,0,True,69.609375,-13.609375,0.36000000000000004,1.0,7.105427357601002e-15,1.0,1,,41.40625000000001,1.9531250000000002,9.375000000000002,0.0,16.875000000000004,0.0,1.5625000000000002,1.9531250000000002,0.0,1.9531250000000002,1.5625000000000002,0.0,0.5625000000000001,0.0
16,4,0000,000000,0,0,0,0,0,0,True,83.28125000000001,-27.281250000000014,0.4880000000000001,1.0,0.0,1.0,1,,42.96875000000001,0.0,11.718750000000002,0.0,28.593750000000007,0.0,1.9531250000000004,1.9531250000000004,0.0,0.0,1.9531250000000004,0.0,0.9531250000000003,0.0
1,5,0101,010110,0,1,0,1,1,0,True,41.03666666666667,14.963333333333331,0.1,1.2646472596294436,1.7763568394002505e-15,1.0,4,,26.944444444444443,3.6588888888888893,7.2666666666666675,0.0,2.111111111111111,1.0555555555555556,1.1111111111111112,1.25,0.30111111111111116,1.25,1.2111111111111112,0.0,0.21111111111111114,0.21111111111111114
2,5,0111,011110,0,1,1,1,1,0,True,41.34777777777778,14.652222222222221,0.1,1.2646472596294436,0.0,1.0,4,,26.944444444444443,3.6588888888888893,7.2666666666666675,2.4222222222222225,0.0,1.0555555555555556,1.1111111111111112,1.25,0.30111111111111116,1.25,1.2111111111111112,1.2111111111111112,0.0,0.21111111111111114
3,5,0100,010000,0,1,0,0,0,0,True,44.01234567901234,11.987654320987659,0.19,1.0,0.0,1.0,1,,32.716049382716044,1.5432098765432098,7.4074074074074066,0.0,2.345679012345679,0.0,1.2345679012345678,1.5432098765432098,0.0,1.5432098765432098,1.2345679012345678,0.0,0.2345679012345679,0.0
4,5,0110,011000,0,1,1,0,0,0,True,44.1358024691358,11.864197530864203,0.19,1.0,0.0,1.0,1,,32.716049382716044,1.5432098765432098,7.4074074074074066,2.4691358024691357,0.0,0.0,1.2345679012345678,1.5432098765432098,0.0,1.5432098765432098,1.2345679012345678,1.2345679012345678,0.0,0.0
5,5,0011,001111,0,0,1,1,1,1,True,44.33577777777778,11.664222222222222,0.1,1.36607403248117,3.552713678800501e-15,1.0,6,,26.944444444444443,4.30688888888889,8.346666666666668,2.7822222222222224,0.0,1.9555555555555562,1.1111111111111112,1.25,0.4631111111111112,0.6020000000000001,1.3911111111111112,1.3911111111111112,0.0,0.3911111111111112
6,5,1101,110100,1,1,0,1,0,0,True,45.416666666666664,10.583333333333336,0.1,1.1605958227452635,8.881784197001252e-16,1.0,2,,26.944444444444443,10.13888888888889,6.666666666666667,0.0,1.1111111111111112,0.5555555555555556,1.1111111111111112,1.25,1.1111111111111112,1.25,1.1111111111111112,0.0,0.11111111111111112,0.11111111111111112
7,5,0001,000111,0,0,0,1,1,1,True,45.464666666666666,10.535333333333334,0.1,1.36607403248117,8.881784197001252e-16,1.0,6,,26.944444444444443,4.30688888888889,8.346666666666668,0.0,3.9111111111111123,1.9555555555555562,1.1111111111111112,1.25,0.4631111111111112,0.6020000000000001,1.3911111111111112,0.0,0.3911111111111112,0.3911111111111112
8,5,0010,001000,0,0,1,0,0,0,True,46.296296296296305,9.703703703703695,0.35200000000000004,1.0,0.0,1.0,1,,33.95061728395062,0.0,9.259259259259261,3.08641975308642,0.0,0.0,1.54320987654321,1.54320987654321,0.0,0.0,1.54320987654321,1.54320987654321,0.0,0.0
9,5,1111,111100,1,1,1,1,0,0,True,46.52777777777777,9.472222222222229,0.1,1.1605958227452635,0.0,1.0,2,,26.944444444444443,10.13888888888889,6.666666666666667,2.2222222222222223,0.0,0.5555555555555556,1.1111111111111112,1.25,1.1111111111111112,1.25,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111112
10,5,1011,101101,1,0,1,1,0,1,True,48.407777777777774,7.592222222222226,0.1,1.3272440519223936,0.0,1.0,4,,26.944444444444443,9.418888888888889,7.866666666666667,2.6222222222222227,0.0,1.5555555555555558,1.1111111111111112,1.25,1.1111111111111112,0.53,1.3111111111111113,1.3111111111111113,0.0,0.31111111111111117
11,5,0000,000000,0,0,0,0,0,0,True,48.64197530864198,7.358024691358018,0.35200000000000004,1.0,0.0,1.0,1,,33.95061728395062,0.0,9.259259259259261,0.0,5.432098765432101,0.0,1.54320987654321,1.54320987654321,0.0,0.0,1.54320987654321,0.0,0.54320987654321,0.0
12,5,1001,100101,1,0,0,1,0,1,True,48.89666666666666,7.103333333333339,0.1,1.3272440519223936,8.881784197001252e-16,1.0,4,,26.944444444444443,9.418888888888889,7.866666666666667,0.0,3.1111111111111116,1.5555555555555558,1.1111111111111112,1.25,1.1111111111111112,0.53,1.3111111111111113,0.0,0.31111111111111117,0.31111111111111117
13,5,1100,110000,1,1,0,0,0,0,True,48.981481481481474,7.018518518518526,0.1,1.0,0.0,1.0,1,,29.93827160493827,11.265432098765432,6.666666666666666,0.0,1.1111111111111112,0.0,1.2345679012345678,1.3888888888888888,1.2345679012345678,1.3888888888888888,1.1111111111111112,0.0,0.11111111111111112,0.0
14,5,1110,111000,1,1,1,0,0,0,True,50.09259259259259,5.907407407407412,0.1,1.0,0.0,1.0,1,,29.93827160493827,11.265432098765432,6.666666666666666,2.2222222222222223,0.0,0.0,1.2345679012345678,1.3888888888888888,1.2345679012345678,1.3888888888888888,1.1111111111111112,1.1111111111111112,0.0,0.0
15,5,1010,101000,1,0,1,0,0,0,True,54.629629629629626,1.3703703703703738,0.28,1.0,0.0,1.0,1,,31.17283950617284,12.34567901234568,8.333333333333334,2.7777777777777777,0.0,0.0,1.54320987654321,1.3888888888888888,1.54320987654321,0.0,1.3888888888888888,1.3888888888888888,0.0,0.0
16,5,1000,100000,1,0,0,0,0,0,True,55.74074074074073,0.25925925925926663,0.28,1.0,0.0,1.0,1,,31.17283950617284,12.34567901234568,8.333333333333334,0.0,3.8888888888888893,0.0,1.54320987654321,1.3888888888888888,1.54320987654321,0.0,1.3888888888888888,0.0,0.38888888888888895,0.0
1,6,0000,000000,0,0,0,0,0,0,True,34.32132963988919,21.678670360110807,0.142625,1.0,3.552713678800501e-15,1.0,1,,25.659717159935852,0.0,6.998104679982505,0.0,1.6635077999708412,0.0,1.166350779997084,1.166350779997084,0.0,0.0,1.166350779997084,0.0,0.16635077999708411,0.0
2,6,1000,100000,1,0,0,0,0,0,True,34.671234873888324,21.328765126111676,0.0975,1.0,0.0,1.0,1,,24.610001457938473,2.332701559994168,6.64819944598338,0.0,1.0803324099722993,0.0,1.166350779997084,1.10803324099723,1.166350779997084,0.0,1.10803324099723,0.0,0.10803324099722993,0.0
3,6,0010,001000,0,0,1,0,0,0,True,36.15687417990961,19.843125820090393,0.142625,1.0,0.0,1.0,1,,25.659717159935852,0.0,6.998104679982505,3.4990523399912523,0.0,0.0,1.166350779997084,1.166350779997084,0.0,0.0,1.166350779997084,1.166350779997084,0.0,0.0
4,6,0100,010000,0,1,0,0,0,0,True,36.65403119988337,19.34596880011663,0.0975,1.0,0.0,1.0,1,,25.426447003936435,3.4990523399912528,6.64819944598338,0.0,1.0803324099722993,0.0,1.10803324099723,1.166350779997084,0.0,1.166350779997084,1.10803324099723,0.0,0.10803324099722993,0.0
5,6,1100,110000,1,1,0,0,0,0,True,36.7590027700831,19.2409972299169,0.05,1.0,0.0,1.0,1,,24.376731301939056,5.54016620498615,6.315789473684211,0.0,0.5263157894736842,0.0,1.10803324099723,1.10803324099723,1.10803324099723,1.10803324099723,1.0526315789473684,0.0,0.052631578947368425,0.0
6,6,1010,101000,1,0,1,0,0,0,True,36.91500218690771,19.084997813092293,0.0975,1.0,0.0,1.0,1,,24.610001457938473,2.332701559994168,6.64819944598338,3.32409972299169,0.0,0.0,1.166350779997084,1.10803324099723,1.166350779997084,0.0,1.10803324099723,1.10803324099723,0.0,0.0
