parameter,value,policy4,policy6,profit,gap,switch_from_previous
pf,0.08000000000000002,1001,100111,19.30573913043478,0.2880000000000038,False
pf,0.085,1001,100111,19.19126502732241,0.2947500000000076,False
pf,0.09000000000000001,1001,100111,19.075681318681326,0.3015000000000114,False
pf,0.09500000000000001,1001,100111,18.95896961325967,0.308250000000001,False
pf,0.1,1001,100111,18.84111111111111,0.3149999999999977,False
pf,0.10500000000000001,1001,100111,18.722086592178776,0.32175000000000864,False
pf,0.11000000000000001,1001,100111,18.60187640449439,0.32850000000000534,False
pf,0.11500000000000002,1001,100111,18.4804604519774,0.33525000000000915,False
pf,0.12000000000000001,1001,100111,18.357818181818175,0.34199999999999164,False
pf,0.125,1001,100111,18.233928571428578,0.34875000000000256,False
pf,0.13,1001,100111,18.10877011494253,0.35549999999999926,False
pf,0.135,1001,100111,17.982320809248556,0.36225000000000307,False
pf,0.14,1001,100111,17.854558139534888,0.3690000000000069,False
pf,0.14500000000000002,1001,100111,17.72545906432748,0.37574999999998937,False
pf,0.15000000000000002,1001,100111,17.595000000000006,0.3825000000000074,False
pf,0.15500000000000003,1001,100111,17.463156804733735,0.3892500000000112,False
pf,0.16000000000000003,1001,100111,17.329904761904764,0.3960000000000008,False
pf,0.16500000000000004,1001,100111,17.195218562874253,0.4027499999999975,False
pf,0.17000000000000004,1001,100111,17.05907228915663,0.4095000000000155,False
pf,0.17500000000000004,1001,100111,16.921439393939394,0.4162500000000051,False
pf,0.18000000000000005,1001,100111,16.78229268292683,0.4230000000000018,False
pf,0.18500000000000005,1001,100111,16.641604294478526,0.4297499999999985,False
pf,0.19,1001,100111,16.499345679012357,0.43650000000000944,False
pf,0.195,1001,100111,16.355487577639757,0.44325000000000614,False
pf,0.2,1001,100111,16.210000000000008,0.45000000000001705,False
b1,1.0,1001,100111,19.952222222222225,0.730000000000004,False
b1,1.25,1001,100111,19.674444444444447,0.730000000000004,False
b1,1.5,1001,100111,19.39666666666667,0.6795000000000115,False
b1,1.75,1001,100111,19.11888888888889,0.4972500000000011,False
b1,2.0,1001,100111,18.84111111111111,0.3149999999999977,False
b1,2.25,1001,100111,18.563333333333333,0.13275000000000148,False
b1,2.5,0001,000111,18.335055555555556,0.049500000000001876,True
b1,2.75,0001,000111,18.239527777777774,0.23174999999999812,False
b1,3.0,0001,000111,18.144,0.4139999999999944,False
b1,3.25,0001,000111,18.048472222222223,0.39374999999999716,False
b1,3.5,0001,000111,17.95294444444444,0.37349999999999284,False
b1,3.75,0001,000111,17.857416666666666,0.3532499999999956,False
b1,4.0,0001,000111,17.76188888888889,0.3329999999999984,False
b1,4.25,0001,000111,17.666361111111115,0.3127500000000012,False
b1,4.5,0001,000111,17.570833333333333,0.2924999999999969,False
b1,4.75,0001,000111,17.47530555555555,0.27224999999999966,False
b1,5.0,0001,000111,17.379777777777775,0.25199999999999534,False
b1,5.25,0001,000111,17.28425,0.23174999999999812,False
b1,5.5,0001,000111,17.188722222222218,0.2114999999999938,False
b1,5.75,0001,000111,17.093194444444443,0.1912499999999966,False
b1,6.0,0001,000111,16.997666666666667,0.17099999999999937,False
b1,6.25,0001,000111,16.902138888888892,0.15075000000000216,False
b1,6.5,0001,000111,16.80661111111111,0.13049999999999784,False
b1,6.75,0001,000111,16.711083333333328,0.11024999999999352,False
b1,7.0,0001,000111,16.615555555555552,0.0899999999999963,False
b1,7.25,0001,000111,16.52002777777777,0.06974999999998488,False
b1,7.5,0001,000111,16.424499999999995,0.04949999999999477,False
b1,7.75,0001,000111,16.32897222222222,0.029249999999997556,False
b1,8.0,0001,000111,16.233444444444444,0.009000000000000341,False
b2,1.0,1101,110111,20.333333333333336,0.0800000000000054,False
b2,1.25,1101,110111,20.05555555555555,0.0799999999999983,False
b2,1.5,1101,110111,19.77777777777778,0.0800000000000054,False
b2,1.75,1101,110111,19.499999999999993,0.0799999999999983,False
b2,2.0,1101,110111,19.22222222222222,0.0799999999999983,False
b2,2.25,1001,100111,19.066944444444438,0.12249999999999517,True
b2,2.5,1001,100111,18.99166666666666,0.2744999999999962,False
b2,2.75,1001,100111,18.916388888888882,0.2947499999999934,False
b2,3.0,1001,100111,18.84111111111111,0.3149999999999977,False
b2,3.25,1001,100111,18.765833333333333,0.33525000000000205,False
b2,3.5,1001,100111,18.690555555555555,0.35550000000000637,False
b2,3.75,1001,100111,18.615277777777777,0.3757500000000036,False
b2,4.0,1001,100111,18.54,0.3960000000000008,False
b2,4.25,1001,100111,18.46472222222222,0.416249999999998,False
b2,4.5,1001,100111,18.389444444444443,0.43650000000000233,False
b2,4.75,1001,100111,18.314166666666665,0.45674999999999955,False
b2,5.0,1001,100111,18.238888888888894,0.47700000000001097,False
b2,5.25,1001,100111,18.163611111111116,0.4972500000000082,False
b2,5.5,1001,100111,18.08833333333333,0.5174999999999983,False
b2,5.75,1001,100111,18.013055555555553,0.5377499999999955,False
b2,6.0,1001,100111,17.937777777777775,0.5579999999999927,False
b2,6.25,1001,100111,17.862499999999997,0.578249999999997,False
b2,6.5,1001,100111,17.78722222222222,0.5984999999999943,False
b2,6.75,1001,100111,17.71194444444444,0.6187499999999986,False
b2,7.0,1001,100111,17.63666666666667,0.63900000000001,False
b2,7.25,1001,100111,17.561388888888892,0.6592500000000072,False
b2,7.5,1001,100111,17.486111111111114,0.6795000000000044,False
b2,7.75,1001,100111,17.41083333333333,0.6783230452674758,False
b2,8.0,1001,100111,17.33555555555555,0.6030452674896978,False
replacement_loss,6.0,1001,100111,18.84111111111111,0.3149999999999977,False
replacement_loss,7.0,1001,100111,18.630000000000003,0.40500000000000114,False
replacement_loss,8.0,1001,100111,18.418888888888887,0.49499999999999744,False
replacement_loss,9.0,1001,100111,18.20777777777778,0.4299999999999997,False
replacement_loss,10.0,1001,100111,17.996666666666663,0.3299999999999983,False
replacement_loss,11.0,1001,100111,17.78555555555556,0.23000000000000398,False
replacement_loss,12.0,1001,100111,17.574444444444445,0.13000000000000256,False
replacement_loss,13.0,1001,100111,17.363333333333337,0.030000000000001137,False
replacement_loss,14.0,1101,110111,17.22222222222222,0.07000000000000739,True
replacement_loss,15.0,1101,110111,17.111111111111114,0.1700000000000017,False
replacement_loss,16.0,1101,110111,17.0,0.269999999999996,False
replacement_loss,17.0,1101,110111,16.888888888888886,0.36999999999999034,False
replacement_loss,18.0,1101,110111,16.77777777777778,0.30333333333333456,False
replacement_loss,19.0,1101,110111,16.66666666666667,0.1922222222222274,False
replacement_loss,20.0,1101,110111,16.555555555555557,0.08111111111111313,False
replacement_loss,21.0,1011,101111,16.474444444444444,0.030000000000001137,True
replacement_loss,22.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,23.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,24.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,25.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,26.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,27.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,28.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,29.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,30.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,31.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,32.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,33.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,34.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,35.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,36.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,37.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,38.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,39.0,1011,101111,16.474444444444444,0.0449999999999946,False
replacement_loss,40.0,1011,101111,16.474444444444444,0.0449999999999946,False
disassembly_cost,5.0,1001,100111,18.84111111111111,0.3149999999999977,False
disassembly_cost,6.0,1001,100111,18.630000000000003,0.40500000000000824,False
disassembly_cost,7.0,1001,100111,18.418888888888894,0.49500000000000455,False
disassembly_cost,8.0,1001,100111,18.20777777777778,0.4299999999999997,False
disassembly_cost,9.0,1001,100111,17.996666666666663,0.3299999999999983,False
disassembly_cost,10.0,1001,100111,17.78555555555556,0.23000000000000398,False
disassembly_cost,11.0,1001,100111,17.574444444444453,0.13000000000000966,False
disassembly_cost,12.0,1001,100111,17.363333333333337,0.030000000000008242,False
disassembly_cost,13.0,1101,110111,17.22222222222222,0.07000000000000028,True
disassembly_cost,14.0,1101,110111,17.111111111111114,0.1700000000000017,False
disassembly_cost,15.0,1101,110111,17.0,0.2674897119341466,False
disassembly_cost,16.0,1101,110111,16.888888888888886,0.15637860082303234,False
disassembly_cost,17.0,1101,110111,16.77777777777777,0.045267489711918074,False
disassembly_cost,18.0,1000,100000,16.732510288065853,0.06584362139918198,True
disassembly_cost,19.0,1000,100000,16.732510288065853,0.17695473251029625,False
disassembly_cost,20.0,1000,100000,16.732510288065853,0.2880658436214105,False
disassembly_cost,21.0,1000,100000,16.732510288065853,0.3991769547325248,False
disassembly_cost,22.0,1000,100000,16.732510288065853,0.5102880658436248,False
disassembly_cost,23.0,1000,100000,16.732510288065853,0.6213991769547391,False
disassembly_cost,24.0,1000,100000,16.732510288065853,0.7325102880658534,False
disassembly_cost,25.0,1000,100000,16.732510288065853,0.8436213991769677,False
disassembly_cost,26.0,1000,100000,16.732510288065853,0.9547325102880748,False
disassembly_cost,27.0,1000,100000,16.732510288065853,1.065843621399182,False
disassembly_cost,28.0,1000,100000,16.732510288065853,1.1769547325102963,False
disassembly_cost,29.0,1000,100000,16.732510288065853,1.2880658436214105,False
disassembly_cost,30.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,31.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,32.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,33.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,34.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,35.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,36.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,37.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,38.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,39.0,1000,100000,16.732510288065853,1.3717421124828704,False
disassembly_cost,40.0,1000,100000,16.732510288065853,1.3717421124828704,False
