scope,sample_multiplier,projection_assumption,risk_level,policy4,policy6,profit,gap,mean_upper_minus_phat,family_size,status
Q2-S3,4.0,future sample fraction equals current p_hat,robust95,1011,101111,14.080622747031974,0.35319600305286514,0.03274934200671115,3,
Q2-S3,8.0,future sample fraction equals current p_hat,nominal,1011,101111,16.474444444444444,0.0449999999999946,0.0,3,
Q2-S3,8.0,future sample fraction equals current p_hat,robust90,1011,101111,15.088092377499208,0.4099898972150342,0.019184426861475447,3,
Q2-S3,8.0,future sample fraction equals current p_hat,robust95,1011,101111,14.856909599373871,0.4678774085294961,0.022326690631154583,3,
Q2-S3,16.0,future sample fraction equals current p_hat,nominal,1011,101111,16.474444444444444,0.0449999999999946,0.0,3,
Q2-S3,16.0,future sample fraction equals current p_hat,robust90,1011,101111,15.523753599843118,0.2983695475761863,0.013222315869736467,3,
Q2-S3,16.0,future sample fraction equals current p_hat,robust95,1011,101111,15.366979429592199,0.33875328573687824,0.015376187483510814,3,
Q2-S4,1.0,future sample fraction equals current p_hat,nominal,1111,111111,14.75,1.9600000000000009,0.0,3,
Q2-S4,1.0,future sample fraction equals current p_hat,robust90,1111,111111,9.863515840317064,3.187700464436382,0.07670639764314152,3,
Q2-S4,1.0,future sample fraction equals current p_hat,robust95,1111,111111,8.975567513541321,3.3841139348864644,0.08904829392847348,3,
Q2-S4,2.0,future sample fraction equals current p_hat,nominal,1111,111111,14.75,1.9600000000000009,0.0,3,
Q2-S4,2.0,future sample fraction equals current p_hat,robust90,1111,111111,11.543440110914716,2.7929500262729903,0.05209755910811284,3,
Q2-S4,2.0,future sample fraction equals current p_hat,robust95,1111,111111,10.982239826941566,2.92696951606505,0.060508054521891834,3,
Q2-S4,4.0,future sample fraction equals current p_hat,nominal,1111,111111,14.75,1.9600000000000009,0.0,3,
Q2-S4,4.0,future sample fraction equals current p_hat,robust90,1111,111111,12.59775577586445,2.5309998819798523,0.035749715605579775,3,
Q2-S4,4.0,future sample fraction equals current p_hat,robust95,1111,111111,12.230759376906462,2.623006189126251,0.04152191495779822,3,
Q2-S4,8.0,future sample fraction equals current p_hat,nominal,1111,111111,14.75,1.9600000000000009,0.0,3,
Q2-S4,8.0,future sample fraction equals current p_hat,robust90,1111,111111,13.28268714350039,2.354670736239747,0.02473067388099338,3,
Q2-S4,8.0,future sample fraction equals current p_hat,robust95,1111,111111,13.036989460281674,2.418252003050533,0.02871989686259438,3,
Q2-S4,16.0,future sample fraction equals current p_hat,nominal,1111,111111,14.75,1.9600000000000009,0.0,3,
Q2-S4,16.0,future sample fraction equals current p_hat,robust90,1111,111111,13.738719797695055,2.2345088982003105,0.017212407090474623,3,
Q2-S4,16.0,future sample fraction equals current p_hat,robust95,1111,111111,13.571526349567236,2.2786995964581607,0.019985578753625315,3,
Q2-S5,1.0,future sample fraction equals current p_hat,nominal,0101,010111,14.963333333333331,0.31111111111111,0.0,3,
Q2-S5,1.0,future sample fraction equals current p_hat,robust90,0111,011111,8.106102092519741,0.7468167134064032,0.06800348354110791,3,
Q2-S5,1.0,future sample fraction equals current p_hat,robust95,0111,011111,6.942100241315302,0.9287183277918842,0.07918134596428718,3,
Q2-S5,2.0,future sample fraction equals current p_hat,nominal,0101,010111,14.963333333333331,0.31111111111111,0.0,3,
Q2-S5,2.0,future sample fraction equals current p_hat,robust90,0111,011111,10.37012428963007,0.3860507292712114,0.045524575837399654,3,
Q2-S5,2.0,future sample fraction equals current p_hat,robust95,0111,011111,9.630626797439234,0.5039478303030478,0.05299129609443071,3,
Q2-S5,4.0,future sample fraction equals current p_hat,nominal,0101,010111,14.963333333333331,0.31111111111111,0.0,3,
Q2-S5,4.0,future sample fraction equals current p_hat,robust90,0111,011111,11.78741005962899,0.1572353662542625,0.03091228087161649,3,
Q2-S5,4.0,future sample fraction equals current p_hat,robust95,0111,011111,11.302990838611905,0.2353649710686483,0.03596143614600059,3,
Q2-S5,8.0,future sample fraction equals current p_hat,nominal,0101,010111,14.963333333333331,0.31111111111111,0.0,3,
Q2-S5,8.0,future sample fraction equals current p_hat,robust90,0111,011111,12.704536288842156,0.008073642419645921,0.02122299364898859,3,
Q2-S5,8.0,future sample fraction equals current p_hat,robust95,0111,011111,12.38015825432047,0.06075875049809554,0.024675075303662777,3,
Q2-S5,16.0,future sample fraction equals current p_hat,nominal,0101,010111,14.963333333333331,0.31111111111111,0.0,3,
Q2-S5,16.0,future sample fraction equals current p_hat,robust90,0101,010111,13.404095528462932,0.09128467259526474,0.014691429314228113,3,
Q2-S5,16.0,future sample fraction equals current p_hat,robust95,0101,010111,13.147440855877242,0.05528769921768628,0.017072624369934227,3,
Q2-S6,1.0,future sample fraction equals current p_hat,nominal,0000,000000,21.678670360110807,0.34990523399913087,0.0,3,
Q2-S6,1.0,future sample fraction equals current p_hat,robust90,1000,100000,15.93970562799197,0.6550718973436673,0.05146046735591272,3,
Q2-S6,1.0,future sample fraction equals current p_hat,robust95,1000,100000,14.906349761037937,0.3660791679789739,0.06038109107372858,3,
Q2-S6,2.0,future sample fraction equals current p_hat,nominal,0000,000000,21.678670360110807,0.34990523399913087,0.0,3,
Q2-S6,2.0,future sample fraction equals current p_hat,robust90,1000,100000,17.970304299975226,1.2180324491229442,0.03301431002134501,3,
Q2-S6,2.0,future sample fraction equals current p_hat,robust95,1000,100000,17.358528436531863,1.0538114441575388,0.038660127625092765,3,
Q2-S6,4.0,future sample fraction equals current p_hat,nominal,0000,000000,21.678670360110807,0.34990523399913087,0.0,3,
Q2-S6,4.0,future sample fraction equals current p_hat,robust90,1000,100000,19.15695262708509,0.6626508274472229,0.021711502030795818,3,
Q2-S6,4.0,future sample fraction equals current p_hat,robust95,1000,100000,18.775560084142477,0.8481703774203098,0.025371959712583173,3,
Q2-S6,8.0,future sample fraction equals current p_hat,nominal,0000,000000,21.678670360110807,0.34990523399913087,0.0,3,
Q2-S6,8.0,future sample fraction equals current p_hat,robust90,1000,100000,19.887034726011876,0.31086749202042085,0.014560479012279288,3,
Q2-S6,8.0,future sample fraction equals current p_hat,robust95,1000,100000,19.640399001278432,0.4272773132811736,0.016985070747683805,3,
Q2-S6,16.0,future sample fraction equals current p_hat,nominal,0000,000000,21.678670360110807,0.34990523399913087,0.0,3,
Q2-S6,16.0,future sample fraction equals current p_hat,robust90,1000,100000,20.353780999555923,0.09177779906219996,0.009909908135792131,3,
Q2-S6,16.0,future sample fraction equals current p_hat,robust95,1000,100000,20.19008247770806,0.16747079163081935,0.011543820696696247,3,
Q3,,,,,,,,,12,skipped: sequential records require actual continued sampling
