policy_bits,profit,cost,x_C1,x_C2,x_C3,x_C4,x_C5,x_C6,x_C7,x_C8,y_H1,y_H2,y_H3,z_H1,z_H2,z_H3,y_F,z_F
1111101101011111,59.091999999999985,140.90800000000002,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
0111101111111101,59.05222222222221,140.9477777777778,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
0111111011111101,59.05222222222221,140.9477777777778,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1011101111111101,59.05222222222221,140.9477777777778,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1011111011111101,59.05222222222221,140.9477777777778,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1100111111111101,59.05222222222221,140.9477777777778,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1101011111111101,59.05222222222221,140.9477777777778,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1101110111111101,59.05222222222221,140.9477777777778,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1110111011111101,59.05222222222221,140.9477777777778,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
1111011011111101,59.05222222222221,140.9477777777778,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
1111100111111101,59.05222222222221,140.9477777777778,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
0101111111111101,58.989222222222224,141.01077777777778,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1001111111111101,58.989222222222224,141.01077777777778,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1110101111111101,58.989222222222224,141.01077777777778,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
1111001111111101,58.989222222222224,141.01077777777778,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
1111110011111101,58.989222222222224,141.01077777777778,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1011101011111101,58.87222222222226,141.12777777777774,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1
1101011011111101,58.87222222222226,141.12777777777774,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1
0111101011111101,58.872222222222206,141.1277777777778,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
1100111011111101,58.872222222222206,141.1277777777778,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1
1101100111111101,58.872222222222206,141.1277777777778,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1
1111111101111111,58.84000000000003,141.15999999999997,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1111111110111111,58.84000000000003,141.15999999999997,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1111111111011111,58.84000000000003,141.15999999999997,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0101101111111101,58.80922222222222,141.19077777777778,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
0101111011111101,58.80922222222222,141.19077777777778,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1001101111111101,58.80922222222222,141.19077777777778,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
1001111011111101,58.80922222222222,141.19077777777778,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1100101111111101,58.80922222222222,141.19077777777778,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1101001111111101,58.80922222222222,141.19077777777778,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1
1101110011111101,58.80922222222222,141.19077777777778,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
1110101011111101,58.80922222222222,141.19077777777778,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
1111001011111101,58.80922222222222,141.19077777777778,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
1111100011111101,58.80922222222222,141.19077777777778,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
1101111110111111,58.660000000000025,141.33999999999997,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1101111111011111,58.660000000000025,141.33999999999997,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1111101101111111,58.660000000000025,141.33999999999997,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1111101111011111,58.660000000000025,141.33999999999997,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1111111001111111,58.660000000000025,141.33999999999997,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1111111010111111,58.660000000000025,141.33999999999997,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
0101101011111101,58.62922222222221,141.3707777777778,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1001101011111101,58.62922222222221,141.3707777777778,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1100101011111101,58.62922222222221,141.3707777777778,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
1101001011111101,58.62922222222221,141.3707777777778,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
1101100011111101,58.62922222222221,141.3707777777778,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1
1101101111011111,58.48000000000002,141.51999999999998,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
1101111010111111,58.48000000000002,141.51999999999998,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
1111101001111111,58.48000000000002,141.51999999999998,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
0111111110011111,58.28200000000001,141.718,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1011111110011111,58.28200000000001,141.718,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1110111101011111,58.28200000000001,141.718,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
1111011101011111,58.28200000000001,141.718,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
1111110100111111,58.28200000000001,141.718,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
0011111111111101,58.26022222222224,141.73977777777776,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1110011111111101,58.26022222222224,141.73977777777776,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
0110111111111101,58.24222222222221,141.7577777777778,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
0111011111111101,58.24222222222221,141.7577777777778,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
0111110111111101,58.24222222222221,141.7577777777778,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1010111111111101,58.24222222222221,141.7577777777778,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
1011011111111101,58.24222222222221,141.7577777777778,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1011110111111101,58.24222222222221,141.7577777777778,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1110110111111101,58.24222222222221,141.7577777777778,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
1111010111111101,58.24222222222221,141.7577777777778,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
0011101111111101,58.08022222222223,141.91977777777777,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
0011111011111101,58.08022222222223,141.91977777777777,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1100011111111101,58.08022222222223,141.91977777777777,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1
1110011011111101,58.08022222222223,141.91977777777777,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1
0111011011111101,58.06222222222226,141.93777777777774,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
1010111011111101,58.06222222222226,141.93777777777774,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
1011011011111101,58.06222222222226,141.93777777777774,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
1011100111111101,58.06222222222226,141.93777777777774,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1
1101010111111101,58.06222222222226,141.93777777777774,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
0110111011111101,58.0622222222222,141.9377777777778,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
0111100111111101,58.0622222222222,141.9377777777778,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
1100110111111101,58.0622222222222,141.9377777777778,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1
1111111111111001,58.049382716049365,141.95061728395063,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0101111110011111,58.039000000000016,141.96099999999998,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
1001111110011111,58.039000000000016,141.96099999999998,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
1110101101011111,58.039000000000016,141.96099999999998,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
1111001101011111,58.039000000000016,141.96099999999998,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1111110000111111,58.039000000000016,141.96099999999998,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1111111111111111,58.00000000000003,141.99999999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0100111111111101,57.999222222222215,142.00077777777778,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0101011111111101,57.999222222222215,142.00077777777778,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
0101110111111101,57.999222222222215,142.00077777777778,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
0110101111111101,57.999222222222215,142.00077777777778,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
0111001111111101,57.999222222222215,142.00077777777778,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
0111110011111101,57.999222222222215,142.00077777777778,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1000111111111101,57.999222222222215,142.00077777777778,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1001011111111101,57.999222222222215,142.00077777777778,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1001110111111101,57.999222222222215,142.00077777777778,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1010101111111101,57.999222222222215,142.00077777777778,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1
1011001111111101,57.999222222222215,142.00077777777778,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1
1011110011111101,57.999222222222215,142.00077777777778,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1110100111111101,57.999222222222215,142.00077777777778,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
1110110011111101,57.999222222222215,142.00077777777778,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1
1111000111111101,57.999222222222215,142.00077777777778,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
1111010011111101,57.999222222222215,142.00077777777778,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0001111111111101,57.96862222222222,142.03137777777778,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1110001111111101,57.96862222222222,142.03137777777778,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
0011101011111101,57.900222222222226,142.09977777777777,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1
1100011011111101,57.900222222222226,142.09977777777777,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
1101111111111001,57.86938271604936,142.13061728395064,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
1111101111111001,57.86938271604936,142.13061728395064,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
0111111110111111,57.85000000000002,142.14999999999998,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0111111111011111,57.85000000000002,142.14999999999998,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1011111110111111,57.85000000000002,142.14999999999998,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1011111111011111,57.85000000000002,142.14999999999998,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1110111101111111,57.85000000000002,142.14999999999998,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
1110111111011111,57.85000000000002,142.14999999999998,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1111011101111111,57.85000000000002,142.14999999999998,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1111011111011111,57.85000000000002,142.14999999999998,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
1111110101111111,57.85000000000002,142.14999999999998,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
1111110110111111,57.85000000000002,142.14999999999998,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
1101111111111111,57.82000000000002,142.17999999999998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1111101111111111,57.82000000000002,142.17999999999998,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1111111011111111,57.82000000000002,142.17999999999998,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1001011011111101,57.819222222222265,142.18077777777773,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1
1011001011111101,57.819222222222265,142.18077777777773,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1
1011100011111101,57.819222222222265,142.18077777777773,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1
1101010011111101,57.819222222222265,142.18077777777773,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1
0100111011111101,57.81922222222221,142.1807777777778,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1
0101011011111101,57.81922222222221,142.1807777777778,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1
0101100111111101,57.81922222222221,142.1807777777778,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1
0110101011111101,57.81922222222221,142.1807777777778,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
0111001011111101,57.81922222222221,142.1807777777778,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
0111100011111101,57.81922222222221,142.1807777777778,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
1000111011111101,57.81922222222221,142.1807777777778,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1
1001100111111101,57.81922222222221,142.1807777777778,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
1010101011111101,57.81922222222221,142.1807777777778,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
1100100111111101,57.81922222222221,142.1807777777778,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1
1100110011111101,57.81922222222221,142.1807777777778,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1
1101000111111101,57.81922222222221,142.1807777777778,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1
1111111011111001,57.80246913580248,142.19753086419752,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
0001101111111101,57.788622222222216,142.21137777777778,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
0001111011111101,57.788622222222216,142.21137777777778,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1100001111111101,57.788622222222216,142.21137777777778,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1
1110001011111101,57.788622222222216,142.21137777777778,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1
0100101111111101,57.75622222222222,142.24377777777778,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1
0101001111111101,57.75622222222222,142.24377777777778,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1
0101110011111101,57.75622222222222,142.24377777777778,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
1000101111111101,57.75622222222222,142.24377777777778,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
1001001111111101,57.75622222222222,142.24377777777778,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1
1001110011111101,57.75622222222222,142.24377777777778,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1
1110100011111101,57.75622222222222,142.24377777777778,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1
1111000011111101,57.75622222222222,142.24377777777778,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
1101101111111001,57.68938271604941,142.3106172839506,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1
1111111111101101,57.679012345678984,142.32098765432102,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
1111111111110101,57.679012345678984,142.32098765432102,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
0111101111011111,57.670000000000016,142.32999999999998,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0111111010111111,57.670000000000016,142.32999999999998,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1011101111011111,57.670000000000016,142.32999999999998,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1011111010111111,57.670000000000016,142.32999999999998,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1100111111011111,57.670000000000016,142.32999999999998,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
1101011111011111,57.670000000000016,142.32999999999998,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
1101110110111111,57.670000000000016,142.32999999999998,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
1110111001111111,57.670000000000016,142.32999999999998,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
1111011001111111,57.670000000000016,142.32999999999998,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
1111100101111111,57.670000000000016,142.32999999999998,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
1111111101111101,57.662222222222226,142.33777777777777,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1111111110111101,57.662222222222226,142.33777777777777,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1111111111011101,57.662222222222226,142.33777777777777,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
1101101111111111,57.640000000000015,142.35999999999999,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1101111011111111,57.640000000000015,142.35999999999999,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1111101011111111,57.640000000000015,142.35999999999999,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1101111011111001,57.622469135802476,142.37753086419752,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1
1111101011111001,57.622469135802476,142.37753086419752,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1
0001101011111101,57.60862222222221,142.3913777777778,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
1100001011111101,57.60862222222221,142.3913777777778,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1
0101111110111111,57.60700000000003,142.39299999999997,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
0101111111011111,57.60700000000003,142.39299999999997,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1001111110111111,57.60700000000003,142.39299999999997,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1001111111011111,57.60700000000003,142.39299999999997,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1110101101111111,57.60700000000003,142.39299999999997,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1110101111011111,57.60700000000003,142.39299999999997,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1111001101111111,57.60700000000003,142.39299999999997,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
1111001111011111,57.60700000000003,142.39299999999997,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
1111110001111111,57.60700000000003,142.39299999999997,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
1111110010111111,57.60700000000003,142.39299999999997,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
0100101011111101,57.57622222222221,142.4237777777778,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
0101001011111101,57.57622222222221,142.4237777777778,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
0101100011111101,57.57622222222221,142.4237777777778,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1
1000101011111101,57.57622222222221,142.4237777777778,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1
1001001011111101,57.57622222222221,142.4237777777778,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1
1001100011111101,57.57622222222221,142.4237777777778,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1
1100100011111101,57.57622222222221,142.4237777777778,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1
1101000011111101,57.57622222222221,142.4237777777778,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1
1101111111110101,57.499012345679034,142.50098765432097,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1111101111101101,57.499012345679034,142.50098765432097,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1
1111111011101101,57.499012345679034,142.50098765432097,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
1111111011110101,57.499012345679034,142.50098765432097,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
1111111001111101,57.48222222222225,142.51777777777775,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
1111111010111101,57.48222222222225,142.51777777777775,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
1101111110111101,57.48222222222222,142.51777777777778,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
1101111111011101,57.48222222222222,142.51777777777778,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
1111101101111101,57.48222222222222,142.51777777777778,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
1111101111011101,57.48222222222222,142.51777777777778,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
1101101011111111,57.46000000000001,142.54,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
1101101011111001,57.44246913580247,142.55753086419753,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1
0101101111011111,57.42700000000002,142.57299999999998,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
0101111010111111,57.42700000000002,142.57299999999998,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
1001101111011111,57.42700000000002,142.57299999999998,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
1001111010111111,57.42700000000002,142.57299999999998,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
1100101111011111,57.42700000000002,142.57299999999998,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
1101001111011111,57.42700000000002,142.57299999999998,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
1101110010111111,57.42700000000002,142.57299999999998,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
1110101001111111,57.42700000000002,142.57299999999998,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
1111001001111111,57.42700000000002,142.57299999999998,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
1111100001111111,57.42700000000002,142.57299999999998,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1101111011110101,57.31901234567903,142.68098765432097,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1
1111101011101101,57.31901234567903,142.68098765432097,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
0011111110011111,57.31,142.69,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1110011101011111,57.31,142.69,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1
1101101111011101,57.30222222222224,142.69777777777776,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
1101111010111101,57.30222222222224,142.69777777777776,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
1111101001111101,57.30222222222224,142.69777777777776,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1
0010111111111101,57.27022222222223,142.72977777777777,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
0011011111111101,57.27022222222223,142.72977777777777,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
0011110111111101,57.27022222222223,142.72977777777777,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1
0110011111111101,57.27022222222223,142.72977777777777,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
1010011111111101,57.27022222222223,142.72977777777777,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
1110010111111101,57.27022222222223,142.72977777777777,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1
0111010111111101,57.25222222222226,142.74777777777774,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
1010110111111101,57.25222222222226,142.74777777777774,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
1011010111111101,57.25222222222226,142.74777777777774,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
0110110111111101,57.2522222222222,142.7477777777778,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1
1111111100011011,57.19636049382717,142.80363950617283,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
1111111100111011,57.099160493827156,142.90083950617284,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
1111111101011011,57.099160493827156,142.90083950617284,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
1111111110011011,57.099160493827156,142.90083950617284,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
0010111011111101,57.09022222222222,142.90977777777778,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
0011011011111101,57.09022222222222,142.90977777777778,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
0011100111111101,57.09022222222222,142.90977777777778,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1
